benchmark,object,query size,10%,20%,30%,40%,50%,60%,70%,80%,90%,95%,99%,min,avg,max
RomaBenchmark,SmallBenchmarkObject,00001,124480.00,125056.00,125312.00,125568.00,126080.00,126400.00,126784.00,128384.00,170880.00,212608.00,274688.00,119168.00,135206.02,5472256.00
RomaBenchmark,SmallBenchmarkObject,00010,149760.00,150784.00,191488.00,205056.00,301312.00,307968.00,335616.00,350464.00,356864.00,358912.00,367872.00,143872.00,260374.95,2213888.00
RomaBenchmark,SmallBenchmarkObject,00100,524800.00,526848.00,527872.00,529408.00,530944.00,534016.00,536576.00,539136.00,543232.00,547840.00,574464.00,358144.00,532650.31,2301952.00
RomaBenchmark,SmallBenchmarkObject,01000,2244608.00,2254848.00,2258944.00,2263040.00,2267136.00,2269184.00,2273280.00,2277376.00,2287616.00,2297856.00,2328576.00,2129920.00,2272889.09,4325376.00
Sql2OBenchmark,SmallBenchmarkObject,00001,131712.00,132352.00,132736.00,133248.00,133632.00,134016.00,134400.00,136832.00,183040.00,223744.00,297472.00,125440.00,146748.18,2924544.00
Sql2OBenchmark,SmallBenchmarkObject,00010,202880.00,331008.00,336128.00,336896.00,338944.00,340736.00,343552.00,348416.00,354304.00,364032.00,374784.00,153088.00,319605.52,2238464.00
Sql2OBenchmark,SmallBenchmarkObject,00100,561664.00,563200.00,564736.00,566272.00,568832.00,571392.00,573952.00,576000.00,581120.00,586752.00,612864.00,391936.00,570075.71,2334720.00
Sql2OBenchmark,SmallBenchmarkObject,01000,2637824.00,2643968.00,2648064.00,2652160.00,2656256.00,2658304.00,2662400.00,2668544.00,2676736.00,2691072.00,2805760.00,2512896.00,2666712.26,8437760.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00001,162560.00,163968.00,244736.00,325376.00,328704.00,332800.00,339712.00,345600.00,353024.00,360960.00,369152.00,156160.00,285255.88,7303168.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00010,371712.00,376064.00,380928.00,383232.00,385280.00,387072.00,390144.00,393472.00,398080.00,401152.00,417792.00,200960.00,382841.78,2365440.00
HibernateStatefullBenchmark,SmallBenchmarkObject,00100,764928.00,767488.00,769024.00,770560.00,772608.00,775168.00,778240.00,781312.00,787456.00,796672.00,821760.00,597504.00,776564.68,2979840.00
HibernateStatefullBenchmark,SmallBenchmarkObject,01000,4489216.00,4497408.00,4501504.00,4509696.00,4513792.00,4521984.00,4534272.00,4550656.00,4583424.00,4628480.00,4734976.00,4366336.00,4545371.79,11173888.00
MyBatisBenchmark,SmallBenchmarkObject,00001,259968.00,262656.00,263680.00,263936.00,264704.00,266240.00,267520.00,268288.00,271360.00,274176.00,321280.00,246528.00,267663.33,5550080.00
MyBatisBenchmark,SmallBenchmarkObject,00010,316928.00,319744.00,320256.00,320768.00,321280.00,322560.00,324352.00,325376.00,342272.00,355584.00,496384.00,303360.00,328925.13,1872896.00
MyBatisBenchmark,SmallBenchmarkObject,00100,852480.00,873984.00,877056.00,879616.00,882176.00,887808.00,915456.00,983040.00,1210368.00,1274880.00,1383424.00,827392.00,945646.04,2971648.00
MyBatisBenchmark,SmallBenchmarkObject,01000,5988352.00,6111232.00,6144000.00,6164480.00,6189056.00,6213632.00,6246400.00,6270976.00,6303744.00,6340608.00,7639040.00,5742592.00,6197038.14,11067392.00
